Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Jurkat only,14.03944263,-11.14366982,8.821271226,4.344044902,1.088966197,-3.940618291,-6.956557687,-0.373589235,-5.096519875,3.107615618
Jurkat only,13.5782735,-10.82365805,16.21269896,-8.89836971,-2.559900321,10.46836607,6.563271017,0.479905964,3.467333953,5.550484305
Jurkat only,14.6306068,-14.47939981,10.81048207,-1.078536156,-0.27961239,0.617347389,-10.32457509,-0.218320444,-3.313290001,1.843511403
Jurkat only,12.94205788,-20.16078065,6.658156714,6.704925993,-0.815347179,0.034471468,5.009131489,0.470162098,0.441917477,-0.091751234
Jurkat only,14.26876871,-17.95071926,1.653809372,7.688525803,-0.15949111,0.598066006,1.647926324,-0.146190901,-2.016571651,0.238713015
Jurkat only,13.42192373,-9.25408778,9.741646715,9.796666404,4.341028463,-1.472885412,0.98905072,-0.475727948,2.791992018,3.051149287
Jurkat only,14.19074399,-10.49421389,6.566976028,-0.22398957,-10.66956225,7.069465847,3.280033374,0.031897729,2.095957847,-1.278480509
Jurkat only,13.58948435,-16.54582014,14.56541497,-10.53857815,0.380419597,-2.334117374,2.925994629,0.958124348,3.986245645,-14.50773268
Jurkat only,14.05616062,-14.50736057,8.458562293,11.15218739,3.994649846,-3.496396877,3.936190087,0.557121628,6.935573995,-6.888114048
Jurkat only,17.67686619,-12.49580742,27.84038549,-12.79060026,-5.019797799,-3.356261778,2.513845547,0.832824479,1.896827187,-1.353824912
Jurkat only,12.37702555,-19.33888868,-1.114387899,5.539534458,-4.53758918,-3.560686167,5.825320268,0.722301355,3.280542997,-7.416234621
Jurkat only,16.80294257,-15.24493357,8.7763788,-20.23213298,-5.533091627,-20.59796736,13.97213436,5.150647387,6.096340172,-0.227547106
Jurkat only,14.13357539,-19.66399359,0.055170217,6.159745759,-4.297832845,1.529735795,3.354814989,1.484975697,4.81913319,-8.916700662
Jurkat only,14.24129392,-11.72869589,12.82091054,0.429421732,5.721444987,-1.818141336,-3.890554361,-0.037709887,3.101126847,-0.385072573
Jurkat only,16.11266793,-10.03703128,3.491944793,9.843758527,-3.11302087,-2.50467046,2.578716533,-1.157592658,-8.790988374,-0.699184873
Jurkat only,13.6830998,-7.017131709,6.578556727,10.73720026,0.783774075,-2.589331674,0.034737344,-0.23016571,-1.131672811,2.352187294
Jurkat only,12.91509707,-14.95513836,17.22022471,-2.792879434,2.927211975,6.021056932,-5.885835014,-0.316777925,-2.800326265,4.920895553
Jurkat only,17.67549557,2.837874559,13.20378997,-7.671010826,-16.07359079,-1.032064479,-1.384657897,1.130754451,6.647305697,0.533657547
Jurkat only,16.14687706,-7.578746012,14.36115436,6.679862007,1.078310212,-6.529109253,2.113542927,0.419507124,-1.289016956,1.509629865
Jurkat only,14.92276241,-16.30637564,15.09397005,-4.064290413,-2.72193822,1.661821303,-1.718732274,0.006714167,0.640866087,-1.893823464
